FIPS|State|Total Money|Teachers and Schools|Work Study Jobs|Head Start|Clean Air and Water|Military Readiness|Law Enforcement|Job Search Assistance|Child Care|Vaccines for Children|Public Health|Stop Violence against women|Nutrition assistance
01|Alabama|194515000|11000000|1220|1100|3000000|176900000|230000|472000|500|144000|1802000|102000|865000
02|Alaska|38226700|1500000|80|100|3900000|31800000|69000|337000|100|96000|327700|13000|184000
04|Arizona|78484000|17700000|2310|1000|3200000|52500000|298000|781000|500|176000|2697000|132000|1000000
05|Arkansas|29447000|5900000|380|600|2442000|19200000|159000|273000|200|78000|1023000|62000|310000
06|California|530495000|87600000|9600|8200|14300000|399400000|1600000|3300000|2000|1100000|17000000|795000|5400000
08|Colorado|83618000|8400000|1170|700|3200000|68500000|213000|331000|300|153000|1992000|109000|720000
09|Connecticut|28331000|8700000|550|500|2398000|15000000|153000|242000|200|107000|1454000|76000|201000
10|Delaware|11360000|1400000|150|100|1459000|7600000|83000|86000|100|26000|486000|19000|201000
11|District of Columbia|114091000|533000|500|200|1064000|111300000|80000|174000|0|25000|711000|13000|191000
12|Florida|258563000|54500000|6250|2700|6300000|183200000|970000|2300000|1600|509000|6580000|404000|3800000
13|Georgia|230269000|28600000|2490|1700|4479000|190100000|427000|873000|1100|286000|3996000|208000|1300000
15|Hawaii|141505000|4700000|30|200|1659000|134100000|79000|111000|200|52000|586000|29000|189000
16|Idaho|13746000|3700000|170|200|2057000|6800000|82000|280000|100|61000|531000|33000|202000
17|Illinois|132309000|33400000|3280|2700|7374000|83500000|587000|1400000|1100|357000|4654000|273000|764000
18|Indiana|28796000|13800000|2170|1000|4039000|6400000|262000|683000|600|189000|2465000|138000|820000
19|Iowa|18769000|6400000|2370|500|3061000|7400000|135000|376000|300|90000|1022000|65000|220000
20|Kansas|46546000|5500000|310|500|2572000|36700000|149000|322000|400|85000|948000|61000|209000
21|Kentucky|72082000|11800000|1710|1100|2874000|54400000|171000|478000|500|92000|1497000|93000|677000
22|Louisiana|59313000|15800000|540|1400|3384000|35900000|264000|509000|600|818000|2053000|97000|488000
23|Maine|47324000|2700000|50|300|1896000|41700000|67000|167000|50|51000|518000|28000|197000
24|Maryland|375799050|14400000|770|800|3567000|353700000|317000|66000|400|2050|2746000|124000|877000
25|Massachusetts|53718940|1390000|580|1100|4472000|43400000|300000|787000|500|2940|2692000|140000|535000
26|Michigan|99851006|22000000|2490|2300|1500005.9|67700000|482000|1700000|900|301000|4159000|209000|1800000
27|Minnesota|27943000|7000000|920|700|4600000|12500000|201000|689000|500|161000|1834000|113000|845000
28|Mississippi|59697000|5486000|510|1600|2364000|49900000|138000|350000|400|80000|1134000|63000|182000
29|Missouri|60985000|11900000|1280|1200|4929000|40300000|298000|758000|700|171000|2083000|127000|419000
30|Montana|11007000|1536000|80|200|2423000|6300000|66000|229000|100|29000|178000|20000|226000
31|Nebraska|31452000|2988000|180|400|1980000|25100000|97000|460000|200|52000|615000|39000|121000
32|Nevada|25122000|9000000|260|300|1920000|12100000|181000|291000|100|78000|1071000|57000|424000
33|New Hampshire|9361000|1078000|120|100|1859000|5400000|71000|138000|100|46000|516000|28000|225000
34|New Jersey|97264000|11700000|1480|1300|5363000|75000000|336000|0|600|268000|3922000|187000|488000
35|New Mexico|51855000|6100000|160|500|2137000|42000000|135000|257000|400|54000|731000|40000|401000
36|New York|130008000|42700000|4520|4300|12869000|60900000|780000|884000|2300|490000|9526000|412000|1447000
37|North Carolina|153478000|25400000|1150|1500|4871000|117500000|401000|83000|1300|243000|3232000|205000|1543000
38|North Dakota|12025000|1132000|0|200|1868000|7900000|35000|233000|100|52000|585000|14000|206000
39|Ohio|202713000|25100000|1450|2500|7846000|161400000|455000|1786000|800|344000|4714000|245000|823000
40|Oklahoma|133795000|4900000|460|800|2653000|123900000|193000|339000|500|102000|1336000|74000|298000
41|Oregon|32513000|10200000|240|600|2934000|16500000|155000|470000|300|114000|1369000|81000|690000
42|Pennsylvania|191291000|26400000|3160|2300|7153000|150100000|509000|866000|1800|361000|4782000|271000|849000
44|Rhode Island|36444000|2400000|340|200|1612000|31500000|68000|126000|100|36000|492000|22000|188000
45|South Carolina|77992000|12500000|830|900|2409000|59500000|278000|550000|300|127000|1738000|99000|791000
46|South Dakota|10301000|1162000|90|200|1885000|6300000|37000|216000|100|65000|406000|16000|214000
47|Tennessee|59857000|14800000|1660|1200|3427000|36900000|367000|681000|800|177000|2338000|136000|1031000
48|Texas|371075730|67800000|4720|4800|10702000|274800000|1103000|2263000|2300|9730|10298000|543000|3557000
49|Utah|94107230|6260000|530|400|2136000|83500000|119000|525000|200|1230|1160000|59000|347000
50|Vermont|6514000|1128000|30|100|1427000|2900000|33000|101000|100|52000|656000|13000|204000
51|Virginia|671716000|14000000|2120|1000|3823000|648400000|276000|348000|400|241000|3241000|172000|1215000
53|Washington|194110000|11606000|440|1000|4225000|173400000|271000|661000|800|195000|2556000|143000|1053000
54|West Virginia|19412760|5800000|200|500|2501000|9900000|96000|247000|100|760|669000|39000|160000
55|Wisconsin|30118000|8500000|550|900|5354000|12400000|216000|661000|500|173000|2041000|120000|653000
56|Wyoming|9244000|1154000|130|100|1894000|5200000|36000|167000|100|16000|560000|12000|205000
